X,Y,featurecla,scalerank,min_zoom
-64.5430250884324,-80.3439059505116,Land,"1",1
-161.423843121232,-78.899370484936,Land,"1",1
-47.0122963173366,-79.3500652791016,Land,"1",0
-120.761106319985,-73.7459380880175,Land,"1",1
-125.805875916926,-73.6087358662974,Land,"1",1
-99.2488813292404,-72.1880989514743,Land,"1",1
-70.197429918874,-70.8186473368695,Land,"1",1
67.3741459217118,-76.6540796960856,Land,"0",0
-69.2162509638358,-54.0159248892329,Land,"0",0
-59.3892859997552,-51.6999998781821,Land,"0",0.5
69.6465417662012,-49.1537497410699,Land,"0",0.5
146.762681194284,-42.2347349736065,Land,"0",0
171.176163589507,-43.7043338698223,Land,"0",0
176.516596807743,-38.3053102493584,Land,"0",0
165.687378467834,-21.4147140026043,Land,"1",1
177.975949301396,-17.9376202580584,Land,"0",0.5
179.474475874578,-16.4945999595518,Land,"0",1.5
-179.930654967804,-16.2844580245338,Land,"1",1.5
167.487338667541,-16.3131640927633,Land,"1",1.5
166.898778910956,-15.1633117776767,Land,"1",1
46.6694912275518,-18.6466912602871,Land,"0",0
133.058581670199,-24.8414553492225,Land,"0",0
161.926028487327,-10.6513649920903,Land,"1",1.5
120.030296878775,-9.81779759871758,Land,"1",1.5
160.093550527257,-9.50523261249395,Land,"1",1
161.054634258491,-9.01877741501833,Land,"1",1.5
124.591280081292,-9.34160017168493,Land,"1",1
118.031753170825,-8.58149087937801,Land,"1",1
120.5917777797,-8.49867890279853,Land,"1",1
159.095900156169,-7.88742520740949,Land,"1",1
156.789168425717,-6.8937907305557,Land,"1",1.5
109.550614040502,-7.15046756681056,Land,"0",0
134.421115494271,-6.17843399975937,Land,"1",1.5
155.132806784535,-6.0507413900029,Land,"1",1
151.525085051028,-5.27572335750174,Land,"1",1
126.657906816466,-3.53322129733059,Land,"1",1.5
129.252681552541,-3.22820086364375,Land,"1",1
152.31786840336,-3.5610226778698,Land,"1",1.5
142.480435913881,-5.77463344447972,Land,"0",0
120.400291151367,-2.02579337024539,Land,"0",0
128.068516200393,0.684066391711127,Land,"1",1
101.698703958862,-0.272903455763884,Land,"0",0
113.741051258759,1.50285517606111,Land,"0",0
125.205865836007,7.60386388409022,Land,"0",0
80.683752124428,7.86194951713643,Land,"1",1
-61.2903523486395,10.5625001792141,Land,"0",1
123.260841533609,10.1211014386354,Land,"1",1
118.716501484098,9.84407645070853,Land,"1",1
122.563806841009,11.2908872876762,Land,"1",1
125.020116976351,11.3635184403382,Land,"0",0
121.091479411846,12.8870427334014,Land,"1",1.5
120.761106516787,15.6686818137698,Land,"0",0
-66.444956839894,18.3012478337581,Land,"1",1
-77.1515018516279,18.0237843987996,Land,"1",1
-70.5499972636423,18.823748456654,Land,"0",0
109.547320317635,18.9671366856268,Land,"1",1
-155.453695413589,19.6058250872746,Land,"0",0.5
-156.370724033075,20.823649222732,Land,"0",1.5
-157.035248328725,21.1373051238099,Land,"0",1.5
-157.970295296835,21.4306800272664,Land,"0",1
-159.536176256306,22.0236646042878,Land,"0",1.5
-77.7048477532811,21.3898704086682,Land,"0",0
-77.922886734965,24.4578197987148,Land,"0",1
120.988847888732,23.9752682355797,Land,"1",1
-78.3961252600007,26.6849999643662,Land,"0",1.5
-77.2131029840558,26.2686747962926,Land,"0",1.5
133.595601921379,33.6641590384714,Land,"1",1.5
33.2216477623298,35.1216301337073,Land,"1",1
24.6504480275371,35.327004628885,Land,"1",1
14.2775134576686,37.2891327168744,Land,"1",1
9.0718870604769,39.8093914671394,Land,"1",1
138.348867018017,36.093430419766,Land,"0",0
9.05590556826159,42.2045042340583,Land,"1",1
143.451101259118,43.6748548496114,Land,"0",0
-63.7979775530428,46.4965759550282,Land,"0",1
-63.1871725086912,49.5535500170742,Land,"0",1
-126.033046619576,49.6724973525748,Land,"1",1
-56.1591093325224,48.9066929558336,Land,"0",0
-132.390132959102,53.2557410833378,Land,"1",1
143.062079240677,50.1813820427984,Land,"0",0
-7.80669892373048,53.5103645828239,Land,"0",0
11.8007641766578,55.4874269178541,Land,"1",1
-153.652975753607,57.2885183937365,Land,"1",1
-1.75331235624312,54.2246879850577,Land,"0",0
-166.386252223178,60.077236744559,Land,"0",1.5
-79.856913060878,61.8672943393625,Land,"0",1.5
-82.9788965576945,62.5817999725361,Land,"0",1.5
-170.566810187091,63.3908328722907,Land,"1",1.5
-83.961223980416,64.2785052591077,Land,"1",0.5
-18.4578912914293,64.9880499556265,Land,"0",0
-76.0926950504852,67.7992253150271,Land,"0",1
-177.495753677891,66.7487157810017,Land,"0",0
-97.9276493519543,69.4450312529248,Land,"1",1.5
179.681324618073,71.3072576434414,Land,"0",1
-178.810380076261,71.2011244691711,Land,"0",0
-68.595332822375,9.0140989746649,Land,"0",0
-111.256114093936,70.9510859066037,Land,"0",0
-105.52771431561,73.0899992000001,Land,"0",1.5
-78.6694057499236,73.2179341652647,Land,"0",1
-69.4207687268854,67.9573519652745,Land,"0",0
-99.5217187498502,72.5349999331311,Land,"0",0
141.704139430658,73.6201559443647,Land,"0",1
-93.8171301080212,73.201836649328,Land,"0",0.5
-121.694535851571,72.7712798796994,Land,"0",0
148.317018480884,75.1285200082081,Land,"0",1
-95.1835678163507,75.1382441705281,Land,"1",1.5
141.009484193035,75.4121474444134,Land,"0",0
-100.128946251208,76.0000000606343,Land,"0",0
-114.152709247591,75.6973560338162,Land,"0",0
56.1605893545367,74.0294351386486,Land,"0",0
-91.207881580686,75.7491502775212,Land,"0",0
-119.135906340962,76.6972697024814,Land,"1",0.5
10.013079584465,21.464690497444,Land,"0",0
-95.2027045468952,77.7271690440419,Land,"1",1.5
-111.600034526061,77.8642657457851,Land,"1",1
22.5113658780416,78.0072905485081,Land,"1",1
-111.15815329298,78.7032076803028,Land,"1",1.5
-97.0004620593328,78.2505850646952,Land,"1",1
-102.540857091704,78.5288766219674,Land,"1",0.5
102.740861316283,78.5101144100627,Land,"0",0.5
15.6873394871739,78.2937640784908,Land,"0",0
22.682486462303,79.9581420811583,Land,"0",0
48.5992857986361,80.4649984919532,Land,"1",1
96.2467662132937,79.9619624886631,Land,"0",0
-91.8688898193571,79.9313941863838,Land,"0",0
-79.4653891062554,79.6851940243362,Land,"0",0
-39.2831484854647,71.8673008369948,Land,"0",0
